|                                                                          |   ncount |           mae |          rmse |               rsq |
| ('WN_Adsorption_100_shift', 'Unweighted', 'Training', 'Force')           |      963 |   0.428833    |   0.70835     |       0.958387    |
| ('WN_Adsorption_100_shift', 'Unweighted', 'Testing', 'Energy')           |        1 |  15.457       |  15.457       |    -inf           |
| ('WN_Adsorption_100_shift', 'Unweighted', 'Testing', 'Force')            |      960 |   0.278524    |   0.524351    |       0.977462    |
| ('WN_Adsorption_100_shift', 'weighted', 'Training', 'Energy')            |        1 |   0.160867    |   0.160867    |    -inf           |
| ('WN_Adsorption_100_shift', 'weighted', 'Training', 'Force')             |      963 |   0.428833    |   0.70835     |       0.958387    |
| ('WN_Adsorption_100_shift', 'weighted', 'Testing', 'Energy')             |        1 |   0.15457     |   0.15457     |    -inf           |
| ('WN_Adsorption_100_shift', 'weighted', 'Testing', 'Force')              |      960 |   0.278524    |   0.524351    |       0.977462    |
| ('WN_Adsorption_110_shift', 'Unweighted', 'Training', 'Energy')          |        1 |  42.5722      |  42.5722      |    -inf           |
| ('WN_Adsorption_110_shift', 'Unweighted', 'Training', 'Force')           |     1086 |  11.6484      |  22.2964      |       0.0327824   |
| ('WN_Adsorption_110_shift', 'Unweighted', 'Testing', 'Energy')           |        1 |  14.42        |  14.42        |    -inf           |
| ('WN_Adsorption_110_shift', 'Unweighted', 'Testing', 'Force')            |      219 |   0.619378    |   0.897101    |       0.955231    |
| ('WN_Adsorption_110_shift', 'weighted', 'Training', 'Energy')            |        1 |   0.425722    |   0.425722    |    -inf           |
| ('WN_Adsorption_110_shift', 'weighted', 'Training', 'Force')             |     1086 |  11.6484      |  22.2964      |       0.0327824   |
| ('WN_Adsorption_110_shift', 'weighted', 'Testing', 'Energy')             |        1 |   0.1442      |   0.1442      |    -inf           |
| ('WN_Adsorption_110_shift', 'weighted', 'Testing', 'Force')              |      219 |   0.619378    |   0.897101    |       0.955231    |
| ('WN_BulkStructures_shift', 'Unweighted', 'Training', 'Energy')          |        1 |  18.1358      |  18.1358      |    -inf           |
| ('WN_BulkStructures_shift', 'Unweighted', 'Training', 'Force')           |        6 |   9.24046e-06 |   1.17139e-05 |       0.727425    |
| ('WN_BulkStructures_shift', 'Unweighted', 'Testing', 'Energy')           |        1 |  14.3676      |  14.3676      |    -inf           |
| ('WN_BulkStructures_shift', 'Unweighted', 'Testing', 'Force')            |       18 |   0.0215357   |   0.0456176   |       0.998721    |
| ('WN_BulkStructures_shift', 'weighted', 'Training', 'Energy')            |        1 |   0.181358    |   0.181358    |    -inf           |
| ('WN_BulkStructures_shift', 'weighted', 'Training', 'Force')             |        6 |   9.24046e-06 |   1.17139e-05 |       0.727425    |
| ('WN_BulkStructures_shift', 'weighted', 'Testing', 'Energy')             |        1 |   0.143676    |   0.143676    |    -inf           |
| ('WN_BulkStructures_shift', 'weighted', 'Testing', 'Force')              |       18 |   0.0215357   |   0.0456176   |       0.998721    |
| ('WN_DFTMD_3000K', 'Unweighted', 'Training', 'Energy')                   |        6 |  18.2684      |  18.5148      |    -104.957       |
| ('WN_DFTMD_3000K', 'Unweighted', 'Training', 'Force')                    |      972 |   1.65903     |   2.30129     |       0.614337    |
| ('WN_DFTMD_3000K', 'Unweighted', 'Testing', 'Energy')                    |        3 |  15.8016      |  15.9386      |    -379.734       |
| ('WN_DFTMD_3000K', 'Unweighted', 'Testing', 'Force')                     |      486 |   1.36497     |   1.82377     |       0.750971    |
| ('WN_DFTMD_3000K', 'weighted', 'Training', 'Energy')                     |        6 |   0.182684    |   0.185148    |    -104.957       |
| ('WN_DFTMD_3000K', 'weighted', 'Training', 'Force')                      |      972 |   1.65903     |   2.30129     |       0.614337    |
| ('WN_DFTMD_3000K', 'weighted', 'Testing', 'Energy')                      |        3 |   0.158016    |   0.159386    |    -379.734       |
| ('WN_DFTMD_3000K', 'weighted', 'Testing', 'Force')                       |      486 |   1.36497     |   1.82377     |       0.750971    |
| ('WN_DFTMD_5000K', 'Unweighted', 'Training', 'Energy')                   |       10 |  18.4603      |  19.22        |     -11.9159      |
| ('WN_DFTMD_5000K', 'Unweighted', 'Training', 'Force')                    |     1620 |   2.28751     |   3.26395     |       0.723102    |
| ('WN_DFTMD_5000K', 'Unweighted', 'Testing', 'Energy')                    |        5 |  20.4951      |  21.3814      |     -10.7401      |
| ('WN_DFTMD_5000K', 'Unweighted', 'Testing', 'Force')                     |      810 |   2.81866     |   3.77022     |       0.702993    |
| ('WN_DFTMD_5000K', 'weighted', 'Training', 'Energy')                     |       10 |   0.184603    |   0.1922      |     -11.9159      |
| ('WN_DFTMD_5000K', 'weighted', 'Training', 'Force')                      |     1620 |   2.28751     |   3.26395     |       0.723102    |
| ('WN_DFTMD_5000K', 'weighted', 'Testing', 'Energy')                      |        5 |   0.204951    |   0.213814    |     -10.7401      |
| ('WN_DFTMD_5000K', 'weighted', 'Testing', 'Force')                       |      810 |   2.81866     |   3.77022     |       0.702993    |
| ('WN_Defect_Oct-Vac_shift', 'Unweighted', 'Training', 'Energy')          |        8 |  19.4884      |  19.6214      |     -73.1244      |
| ('WN_Defect_Oct-Vac_shift', 'Unweighted', 'Training', 'Force')           |     3072 |   0.923419    |   1.67334     |      -0.206684    |
| ('WN_Defect_Oct-Vac_shift', 'Unweighted', 'Testing', 'Energy')           |        4 |  21.2726      |  21.8799      |     -17.1681      |
| ('WN_Defect_Oct-Vac_shift', 'Unweighted', 'Testing', 'Force')            |     1536 |   1.08416     |   2.4198      |      -0.104481    |
| ('WN_Defect_Oct-Vac_shift', 'weighted', 'Training', 'Energy')            |        8 |   0.194884    |   0.196214    |     -73.1244      |
| ('WN_Defect_Oct-Vac_shift', 'weighted', 'Training', 'Force')             |     3072 |   0.923419    |   1.67334     |      -0.206684    |
| ('WN_Defect_Oct-Vac_shift', 'weighted', 'Testing', 'Energy')             |        4 |   0.212726    |   0.218799    |     -17.1681      |
| ('WN_Defect_Oct-Vac_shift', 'weighted', 'Testing', 'Force')              |     1536 |   1.08416     |   2.4198      |      -0.104481    |
| ('WN_Defect_Sub_shift', 'Unweighted', 'Training', 'Energy')              |        9 | 269.797       | 725.658       |      -0.16035     |
| ('WN_Defect_Sub_shift', 'Unweighted', 'Training', 'Force')               |     3456 |  48.9372      | 318.145       |       0.000199784 |
| ('WN_Defect_Sub_shift', 'Unweighted', 'Testing', 'Energy')               |        4 |  21.6804      |  21.9112      |     -48.6699      |
| ('WN_Defect_Sub_shift', 'Unweighted', 'Testing', 'Force')                |     1536 |   1.12646     |   2.04112     |      -0.142989    |
| ('WN_Defect_Sub_shift', 'weighted', 'Training', 'Energy')                |        9 |   2.69797     |   7.25658     |      -0.16035     |
| ('WN_Defect_Sub_shift', 'weighted', 'Training', 'Force')                 |     3456 |  48.9372      | 318.145       |       0.000199784 |
| ('WN_Defect_Sub_shift', 'weighted', 'Testing', 'Energy')                 |        4 |   0.216804    |   0.219112    |     -48.6699      |
| ('WN_Defect_Sub_shift', 'weighted', 'Testing', 'Force')                  |     1536 |   1.12646     |   2.04112     |      -0.142989    |
| ('WN_NEB_N2_Diss_100_Subset_shift', 'Unweighted', 'Training', 'Energy')  |        3 |  13.4353      |  13.4358      | -449731           |
| ('WN_NEB_N2_Diss_100_Subset_shift', 'Unweighted', 'Training', 'Force')   |      882 |   0.861774    |   1.13253     |       0.969965    |
| ('WN_NEB_N2_Diss_100_Subset_shift', 'Unweighted', 'Testing', 'Energy')   |        1 |  13.3053      |  13.3053      |    -inf           |
| ('WN_NEB_N2_Diss_100_Subset_shift', 'Unweighted', 'Testing', 'Force')    |      294 |   0.829323    |   1.11252     |       0.972666    |
| ('WN_NEB_N2_Diss_100_Subset_shift', 'weighted', 'Training', 'Energy')    |        3 |   0.134353    |   0.134358    | -449731           |
| ('WN_NEB_N2_Diss_100_Subset_shift', 'weighted', 'Training', 'Force')     |      882 |   0.861774    |   1.13253     |       0.969965    |
| ('WN_NEB_N2_Diss_100_Subset_shift', 'weighted', 'Testing', 'Energy')     |        1 |   0.133053    |   0.133053    |    -inf           |
| ('WN_NEB_N2_Diss_100_Subset_shift', 'weighted', 'Testing', 'Force')      |      294 |   0.829323    |   1.11252     |       0.972666    |
| ('WN_NEB_N2_Diss_110_Subset_shift', 'Unweighted', 'Training', 'Energy')  |        2 |  15.1263      |  15.1313      |   -3146.9         |
| ('WN_NEB_N2_Diss_110_Subset_shift', 'Unweighted', 'Training', 'Force')   |      444 |   0.731805    |   1.19689     |       0.942458    |
| ('WN_NEB_N2_Diss_110_Subset_shift', 'Unweighted', 'Testing', 'Energy')   |        1 |  25.1164      |  25.1164      |    -inf           |
| ('WN_NEB_N2_Diss_110_Subset_shift', 'Unweighted', 'Testing', 'Force')    |      222 |   2.07061     |   2.79014     |       0.772922    |
| ('WN_NEB_N2_Diss_110_Subset_shift', 'weighted', 'Training', 'Energy')    |        2 |   0.151263    |   0.151313    |   -3146.9         |
| ('WN_NEB_N2_Diss_110_Subset_shift', 'weighted', 'Training', 'Force')     |      444 |   0.731805    |   1.19689     |       0.942458    |
| ('WN_NEB_N2_Diss_110_Subset_shift', 'weighted', 'Testing', 'Energy')     |        1 |   0.251164    |   0.251164    |    -inf           |
| ('WN_NEB_N2_Diss_110_Subset_shift', 'weighted', 'Testing', 'Force')      |      222 |   2.07061     |   2.79014     |       0.772922    |
| ('WN_NEB_SurfDiff_100_subset_shift', 'Unweighted', 'Training', 'Energy') |        1 |  13.4007      |  13.4007      |    -inf           |
| ('WN_NEB_SurfDiff_100_subset_shift', 'Unweighted', 'Training', 'Force')  |      291 |   0.850728    |   1.11667     |       0.969202    |
| ('WN_NEB_SurfDiff_100_subset_shift', 'Unweighted', 'Testing', 'Energy')  |        1 |  13.4179      |  13.4179      |    -inf           |
| ('WN_NEB_SurfDiff_100_subset_shift', 'Unweighted', 'Testing', 'Force')   |      291 |   0.848623    |   1.1165      |       0.969212    |
| ('WN_NEB_SurfDiff_100_subset_shift', 'weighted', 'Training', 'Energy')   |        1 |   0.134007    |   0.134007    |    -inf           |
| ('WN_NEB_SurfDiff_100_subset_shift', 'weighted', 'Training', 'Force')    |      291 |   0.850728    |   1.11667     |       0.969202    |
| ('WN_NEB_SurfDiff_100_subset_shift', 'weighted', 'Testing', 'Energy')    |        1 |   0.134179    |   0.134179    |    -inf           |
| ('WN_NEB_SurfDiff_100_subset_shift', 'weighted', 'Testing', 'Force')     |      291 |   0.848623    |   1.1165      |       0.969212    |
| ('WN_NEB_SurfDiff_110_subset_shift', 'Unweighted', 'Training', 'Energy') |        1 |  14.4185      |  14.4185      |    -inf           |
| ('WN_NEB_SurfDiff_110_subset_shift', 'Unweighted', 'Training', 'Force')  |      219 |   0.619379    |   0.897101    |       0.955231    |
| ('WN_NEB_SurfDiff_110_subset_shift', 'Unweighted', 'Testing', 'Energy')  |        1 |  14.3552      |  14.3552      |    -inf           |
| ('WN_NEB_SurfDiff_110_subset_shift', 'Unweighted', 'Testing', 'Force')   |      219 |   0.643559    |   0.97035     |       0.950409    |
