|                                                                          |   ncount |          mae |          rmse |               rsq |
| ('WN2_Strain_P-6m2_shift', 'Unweighted', 'Testing', 'Energy')            |       13 | 10.2409      |  10.2528      | -296028           |
| ('WN2_Strain_P-6m2_shift', 'Unweighted', 'Testing', 'Force')             |      117 |  0.300702    |   0.638281    |    -229.58        |
| ('WN2_Strain_P-6m2_shift', 'weighted', 'Training', 'Energy')             |       26 |  0.0940996   |   0.096418    |  -25340.9         |
| ('WN2_Strain_P-6m2_shift', 'weighted', 'Training', 'Force')              |      234 |  0.206331    |   0.524414    |     -18.2676      |
| ('WN2_Strain_P-6m2_shift', 'weighted', 'Testing', 'Energy')              |       13 |  0.102409    |   0.102528    | -296028           |
| ('WN2_Strain_P-6m2_shift', 'weighted', 'Testing', 'Force')               |      117 |  0.300702    |   0.638281    |    -229.58        |
| ('WN_Adsorption', 'Unweighted', 'Training', 'Energy')                    |       11 |  0.74369     |   0.971981    |      -1.36921     |
| ('WN_Adsorption', 'Unweighted', 'Training', 'Force')                     |     5697 |  0.286378    |   0.540172    |       0.116451    |
| ('WN_Adsorption', 'Unweighted', 'Testing', 'Energy')                     |        5 |  0.372656    |   0.512185    |      -1.17391     |
| ('WN_Adsorption', 'Unweighted', 'Testing', 'Force')                      |     2700 |  0.185127    |   0.357366    |       0.00783686  |
| ('WN_Adsorption', 'weighted', 'Training', 'Energy')                      |       11 |  0.0074369   |   0.00971981  |      -1.36921     |
| ('WN_Adsorption', 'weighted', 'Training', 'Force')                       |     5697 |  0.286378    |   0.540172    |       0.116451    |
| ('WN_Adsorption', 'weighted', 'Testing', 'Energy')                       |        5 |  0.00372656  |   0.00512185  |      -1.17391     |
| ('WN_Adsorption', 'weighted', 'Testing', 'Force')                        |     2700 |  0.185127    |   0.357366    |       0.00783686  |
| ('WN_Adsorption_100_shift', 'Unweighted', 'Training', 'Energy')          |        1 |  0.525629    |   0.525629    |    -inf           |
| ('WN_Adsorption_100_shift', 'Unweighted', 'Training', 'Force')           |      966 |  0.275421    |   0.623295    |      -0.454338    |
| ('WN_Adsorption_100_shift', 'Unweighted', 'Testing', 'Energy')           |        1 |  0.851509    |   0.851509    |    -inf           |
